application_id,age,income_annual_inr,employment_type,employment_years,existing_loans,existing_emi_inr,credit_score,loan_amount_inr,loan_purpose,ltv_ratio,dti_ratio,default_flag
APP-0044,23,420000,self_employed,8,2,26340,619,500000,home,0.75,0.87,1
APP-0045,49,300000,government,16,3,36441,777,5000000,education,0.58,3.06,1
APP-0046,29,600000,self_employed,3,0,0,584,500000,education,0.74,0.08,0
APP-0047,41,1200000,self_employed,7,3,41691,666,5000000,education,0.44,0.82,1
APP-0048,23,600000,contract,15,3,24771,685,2500000,vehicle,0.73,0.9,1
APP-0049,28,600000,contract,7,0,0,758,1000000,education,0.95,0.16,0
APP-0050,23,300000,salaried,5,3,18453,640,1000000,medical,0.76,1.06,1
APP-0051,23,300000,government,7,1,13940,655,1000000,education,0.5,0.88,1
APP-0052,40,420000,contract,4,2,12052,650,1000000,business,0.75,0.57,1
APP-0053,55,600000,government,6,2,29842,774,100000,education,0.66,0.61,1
APP-0054,40,1200000,contract,7,2,20676,773,500000,personal,0.54,0.25,0
APP-0055,40,420000,self_employed,11,1,11232,689,2500000,home,0.52,0.89,1
APP-0056,31,1200000,salaried,11,3,37542,754,100000,home,0.63,0.38,0
APP-0057,28,300000,salaried,7,0,0,668,5000000,education,0.79,1.6,1
APP-0058,57,1800000,self_employed,3,0,0,717,100000,vehicle,0.56,0.01,0
APP-0059,24,840000,government,16,2,13150,666,500000,medical,0.9,0.24,0
APP-0060,36,2400000,self_employed,17,3,44307,699,1000000,vehicle,0.73,0.26,0
APP-0061,55,2400000,government,1,0,0,641,1000000,home,0.44,0.04,0
APP-0062,57,600000,government,6,2,28708,654,5000000,home,0.8,1.37,1
APP-0063,43,840000,self_employed,6,0,0,617,1000000,personal,0.7,0.11,0
APP-0064,46,600000,salaried,7,2,10410,614,100000,education,0.77,0.22,0
APP-0065,45,840000,government,19,1,12725,763,500000,education,0.62,0.24,0
APP-0066,30,600000,salaried,18,2,10666,763,250000,business,0.69,0.25,0
APP-0067,41,840000,contract,3,2,6962,725,5000000,home,0.67,0.67,1
APP-0068,54,300000,self_employed,15,0,0,645,2500000,vehicle,0.93,0.8,0
APP-0069,44,2400000,salaried,3,0,0,650,1000000,vehicle,0.75,0.04,0
APP-0070,53,1800000,salaried,7,0,0,496,250000,vehicle,0.94,0.01,0
APP-0071,30,2400000,contract,10,0,0,707,5000000,home,0.78,0.2,0
APP-0072,45,2400000,contract,5,2,24804,617,500000,medical,0.89,0.14,0
APP-0073,24,2400000,government,19,2,23572,744,5000000,education,0.5,0.32,0
APP-0074,27,840000,contract,9,2,21708,580,100000,personal,0.49,0.32,0
APP-0075,38,420000,self_employed,1,1,11660,723,500000,business,0.6,0.45,0
APP-0076,38,600000,self_employed,1,1,11961,628,1000000,business,0.55,0.4,0
APP-0077,42,1800000,self_employed,11,1,14317,609,2500000,medical,0.72,0.23,0
APP-0078,51,420000,salaried,13,2,19878,616,2500000,education,0.58,1.14,1
APP-0079,26,300000,self_employed,8,3,16701,804,250000,education,0.44,0.75,1
APP-0080,25,300000,contract,13,1,14945,657,500000,business,0.59,0.76,1
APP-0081,33,1800000,contract,20,3,24681,645,2500000,vehicle,0.66,0.3,0
APP-0082,30,840000,contract,15,1,10448,880,5000000,personal,0.67,0.72,0
APP-0083,56,840000,contract,4,3,10644,848,1000000,vehicle,0.47,0.27,0
APP-0084,46,840000,government,2,1,5070,642,100000,personal,0.64,0.08,0
APP-0085,22,300000,self_employed,19,1,5192,811,500000,home,0.59,0.37,0
APP-0086,24,2400000,self_employed,2,1,6599,641,2500000,vehicle,0.52,0.13,0
APP-0087,33,840000,government,16,2,18016,581,250000,education,0.41,0.29,0
APP-0088,32,1200000,salaried,7,3,22878,820,500000,education,0.5,0.27,0
APP-0089,43,1800000,government,16,3,9714,619,2500000,home,0.58,0.2,0
APP-0090,23,840000,government,1,1,9105,691,500000,education,0.72,0.19,0
APP-0091,42,1800000,government,13,1,12880,735,2500000,home,0.45,0.22,0
APP-0092,27,1800000,self_employed,4,2,18738,575,500000,vehicle,0.87,0.15,1
APP-0093,30,1200000,government,18,3,17250,685,500000,education,0.5,0.21,0
APP-0094,33,420000,salaried,2,1,3539,671,500000,education,0.66,0.22,0
APP-0095,40,1800000,government,19,2,14100,656,250000,education,0.64,0.11,0
APP-0096,27,2400000,self_employed,1,1,8189,734,1000000,business,0.6,0.08,0
APP-0097,36,420000,contract,17,3,22800,541,250000,business,0.92,0.71,0
APP-0098,40,1200000,salaried,7,2,21304,760,5000000,vehicle,0.46,0.61,0
APP-0099,24,420000,salaried,7,2,20330,714,100000,vehicle,0.45,0.6,1
APP-0100,27,300000,government,12,2,11704,683,1000000,business,0.73,0.79,1
APP-0101,52,420000,contract,11,0,0,711,500000,personal,0.42,0.11,0
APP-0102,34,300000,government,8,3,14439,741,500000,personal,0.63,0.74,1
APP-0103,24,420000,contract,4,1,6305,756,100000,personal,0.9,0.2,0
APP-0104,27,2400000,self_employed,7,0,0,761,2500000,business,0.77,0.1,0
APP-0105,39,1800000,government,17,3,15384,556,1000000,personal,0.59,0.16,0
APP-0106,52,2400000,self_employed,17,0,0,631,100000,medical,0.44,0.0,0
APP-0107,55,420000,contract,10,0,0,590,2500000,home,0.44,0.57,1
APP-0108,54,1800000,government,12,1,5532,758,5000000,business,0.59,0.3,0
APP-0109,32,600000,government,8,1,13945,670,2500000,personal,0.46,0.68,0
APP-0110,58,420000,contract,9,2,21052,735,250000,vehicle,0.91,0.66,0
APP-0111,23,1200000,contract,9,0,0,867,250000,personal,0.7,0.02,0
APP-0112,30,840000,self_employed,18,2,12378,696,250000,home,0.84,0.21,0
APP-0113,28,1200000,contract,10,3,37713,774,100000,personal,0.45,0.39,0
APP-0114,45,420000,government,11,0,0,588,5000000,home,0.75,1.14,1
APP-0115,32,1800000,self_employed,10,1,6748,550,500000,vehicle,0.61,0.07,0
APP-0116,38,2400000,salaried,6,1,12662,622,100000,home,0.61,0.07,0
APP-0117,31,420000,contract,10,0,0,795,1000000,vehicle,0.53,0.23,0
APP-0118,26,300000,contract,8,2,21504,584,250000,personal,0.84,0.94,1
APP-0119,49,1200000,government,6,3,15675,678,1000000,business,0.54,0.24,0
APP-0120,46,600000,salaried,20,0,0,635,1000000,personal,0.77,0.16,0
APP-0121,49,1200000,salaried,7,0,0,585,1000000,home,0.5,0.08,0
APP-0122,56,1800000,contract,6,1,13628,619,250000,education,0.61,0.1,0
APP-0123,44,1800000,salaried,19,3,10566,682,1000000,medical,0.47,0.12,0
APP-0124,56,600000,self_employed,9,2,10000,597,250000,business,0.56,0.24,0
APP-0125,47,2400000,self_employed,1,0,0,582,5000000,education,0.68,0.2,0
APP-0126,24,2400000,salaried,16,1,5567,672,500000,medical,0.61,0.05,0
APP-0127,39,1200000,contract,19,3,10665,728,1000000,personal,0.48,0.19,0
APP-0128,52,600000,salaried,16,0,0,834,5000000,personal,0.89,0.8,0
APP-0129,31,300000,self_employed,13,1,6700,675,250000,medical,0.48,0.35,0
APP-0130,44,840000,self_employed,13,3,36840,858,500000,home,0.68,0.58,0
APP-0131,25,1800000,government,8,1,8219,821,250000,business,0.68,0.07,0
APP-0132,49,2400000,contract,12,1,14810,689,100000,education,0.72,0.08,0
APP-0133,31,2400000,salaried,2,2,19138,798,500000,education,0.48,0.12,0
APP-0134,25,600000,salaried,18,0,0,707,1000000,personal,0.46,0.16,0
APP-0135,51,420000,self_employed,5,2,28508,850,500000,business,0.44,0.93,0
APP-0136,53,1800000,self_employed,12,2,21894,807,5000000,home,0.73,0.41,0
APP-0137,24,300000,self_employed,12,3,34827,702,5000000,business,0.79,2.99,1
APP-0138,53,1200000,government,10,3,15030,784,100000,personal,0.43,0.16,0
APP-0139,37,600000,government,3,1,12523,747,2500000,education,0.72,0.65,1
APP-0140,36,1800000,contract,6,1,3790,702,2500000,home,0.8,0.16,0
APP-0141,23,840000,contract,9,2,12310,544,250000,medical,0.86,0.2,0
APP-0142,36,2400000,salaried,11,0,0,648,5000000,home,0.44,0.2,0
APP-0143,25,2400000,contract,6,1,11854,648,2500000,medical,0.89,0.16,0
APP-0144,48,420000,government,13,1,10343,666,500000,business,0.65,0.41,0
APP-0145,44,840000,self_employed,16,1,9111,707,2500000,business,0.88,0.42,0
APP-0146,50,1200000,government,10,2,17734,806,250000,education,0.5,0.2,0
APP-0147,25,600000,contract,19,1,10351,785,1000000,vehicle,0.61,0.37,0
APP-0148,51,420000,salaried,1,3,37689,563,2500000,medical,0.86,1.65,1
APP-0149,28,300000,government,16,1,12717,637,5000000,education,0.72,2.11,1
APP-0150,28,300000,contract,6,1,12081,793,250000,medical,0.75,0.56,0
APP-0151,56,2400000,self_employed,12,1,7849,733,100000,education,0.59,0.04,0
APP-0152,34,1200000,government,10,3,39735,803,250000,education,0.56,0.42,0
APP-0153,56,300000,contract,4,2,26220,834,100000,education,0.48,1.08,0
APP-0154,49,840000,government,3,3,18102,681,1000000,business,0.61,0.37,0
APP-0155,49,420000,contract,9,0,0,472,1000000,education,0.49,0.23,0
APP-0156,56,840000,salaried,1,2,7346,559,100000,home,0.72,0.12,1
APP-0157,46,2400000,government,20,2,27566,605,250000,business,0.83,0.15,0
APP-0158,35,2400000,self_employed,2,3,9036,746,500000,home,0.95,0.07,0
APP-0159,33,300000,contract,19,0,0,713,5000000,education,0.76,1.6,1
APP-0160,29,1200000,government,1,0,0,848,5000000,vehicle,0.6,0.4,0
APP-0161,22,840000,contract,19,1,10478,701,500000,vehicle,0.81,0.21,0
APP-0162,51,840000,self_employed,12,2,6888,695,250000,education,0.54,0.13,0
APP-0163,25,300000,salaried,17,2,26834,670,100000,vehicle,0.61,1.11,1
APP-0164,45,300000,salaried,5,3,43725,673,500000,vehicle,0.78,1.91,1
APP-0165,39,840000,salaried,5,1,9785,656,1000000,personal,0.77,0.25,0
APP-0166,46,840000,contract,7,0,0,746,500000,business,0.69,0.06,0
APP-0167,28,420000,government,13,0,0,647,5000000,vehicle,0.73,1.14,1
APP-0168,52,1200000,contract,1,2,12824,808,5000000,home,0.46,0.53,0
APP-0169,54,600000,salaried,11,1,7100,605,100000,medical,0.81,0.16,0
APP-0170,34,840000,government,8,3,26943,728,2500000,business,0.84,0.67,1
APP-0171,31,2400000,self_employed,1,2,22040,620,500000,home,0.72,0.13,0
APP-0172,23,1200000,self_employed,13,1,4350,564,1000000,vehicle,0.69,0.12,0
APP-0173,36,1800000,contract,3,3,19119,611,100000,home,0.87,0.13,0
APP-0174,23,1800000,contract,15,2,13604,650,5000000,medical,0.63,0.36,0
APP-0175,48,840000,salaried,9,0,0,796,2500000,vehicle,0.58,0.29,0
APP-0176,44,2400000,salaried,11,0,0,738,2500000,vehicle,0.53,0.1,0
APP-0177,52,1200000,contract,6,3,41121,737,250000,education,0.78,0.43,0
APP-0178,40,2400000,salaried,2,0,0,531,1000000,business,0.88,0.04,0
APP-0179,42,300000,contract,13,0,0,769,5000000,home,0.82,1.6,1
APP-0180,38,840000,government,1,1,8081,506,500000,personal,0.9,0.17,0
APP-0181,34,840000,contract,3,2,20260,611,1000000,vehicle,0.7,0.4,0
APP-0182,52,420000,salaried,5,0,0,516,5000000,personal,0.58,1.14,1
APP-0183,37,840000,salaried,10,0,0,678,500000,vehicle,0.95,0.06,0
APP-0184,38,840000,salaried,15,2,12964,702,1000000,personal,0.41,0.3,0
APP-0185,25,2400000,government,16,1,4804,680,2500000,vehicle,0.72,0.12,0
APP-0186,57,300000,salaried,4,2,16322,771,2500000,vehicle,0.89,1.45,1
APP-0187,40,1800000,self_employed,19,0,0,580,5000000,home,0.51,0.27,0
APP-0188,25,2400000,self_employed,3,2,28544,712,100000,medical,0.53,0.15,0
APP-0189,56,300000,government,13,0,0,710,100000,business,0.46,0.03,0
APP-0190,37,2400000,self_employed,12,1,5512,698,2500000,home,0.56,0.13,0
APP-0191,33,1800000,contract,20,3,33876,670,5000000,home,0.71,0.49,0
APP-0192,35,2400000,self_employed,12,3,30231,664,5000000,medical,0.5,0.35,1
APP-0193,45,300000,government,6,2,27660,549,5000000,personal,0.73,2.71,1
APP-0194,32,420000,salaried,7,2,13694,649,2500000,medical,0.73,0.96,1
APP-0195,34,840000,contract,10,2,15348,618,1000000,personal,0.59,0.33,0
APP-0196,35,420000,government,20,3,11376,682,1000000,education,0.62,0.55,0
APP-0197,22,2400000,self_employed,16,1,9808,565,2500000,education,0.6,0.15,0
APP-0198,49,600000,government,5,1,5380,639,2500000,business,0.7,0.51,0
APP-0199,31,840000,salaried,6,3,23589,702,2500000,business,0.76,0.62,0
APP-0200,50,1200000,contract,4,1,7443,697,100000,personal,0.7,0.08,0
APP-0201,38,600000,self_employed,1,1,14752,716,2500000,education,0.94,0.7,0
APP-0202,58,1200000,self_employed,20,0,0,727,1000000,business,0.57,0.08,0
APP-0203,49,600000,self_employed,2,2,16306,701,2500000,business,0.73,0.73,1
APP-0204,29,840000,self_employed,18,1,4864,743,1000000,business,0.85,0.18,0
APP-0205,27,840000,salaried,5,3,34596,687,500000,medical,0.88,0.55,0
APP-0206,48,840000,government,14,1,4667,582,250000,business,0.81,0.1,0
APP-0207,29,420000,self_employed,12,2,21520,805,250000,education,0.53,0.67,0
APP-0208,55,840000,contract,11,0,0,657,250000,home,0.62,0.03,0
APP-0209,32,840000,salaried,7,3,28992,641,500000,medical,0.42,0.47,1
APP-0210,27,2400000,self_employed,6,0,0,586,2500000,vehicle,0.47,0.1,0
APP-0211,41,1800000,government,2,3,36417,670,250000,medical,0.67,0.26,0
APP-0212,58,420000,government,19,3,13296,767,5000000,business,0.75,1.52,1
APP-0213,31,420000,contract,10,2,24110,789,1000000,home,0.67,0.92,1
APP-0214,23,1200000,self_employed,2,0,0,663,100000,business,0.86,0.01,0
APP-0215,50,1800000,salaried,3,0,0,779,2500000,personal,0.55,0.13,0
APP-0216,41,2400000,government,13,2,28108,721,2500000,business,0.64,0.24,0
APP-0217,25,300000,government,14,0,0,576,2500000,personal,0.47,0.8,0
APP-0218,56,1800000,salaried,8,3,35130,700,100000,personal,0.71,0.24,0
APP-0219,44,840000,salaried,5,0,0,744,100000,personal,0.72,0.01,0
APP-0220,56,2400000,government,12,1,10380,546,5000000,home,0.9,0.25,0
APP-0221,26,1800000,self_employed,6,0,0,774,500000,business,0.67,0.03,0
APP-0222,36,1800000,salaried,3,3,38712,714,500000,vehicle,0.6,0.28,0
APP-0223,54,600000,government,10,1,10041,739,250000,medical,0.64,0.24,0
APP-0224,25,1800000,self_employed,14,0,0,774,500000,education,0.52,0.03,0
APP-0225,25,420000,salaried,15,2,9020,659,250000,personal,0.72,0.31,1
APP-0226,22,300000,salaried,12,0,0,688,5000000,home,0.74,1.6,1
APP-0227,38,420000,salaried,4,0,0,606,100000,business,0.9,0.02,0
APP-0228,48,420000,government,7,3,17754,598,100000,business,0.91,0.53,0
APP-0229,25,1800000,salaried,10,1,13163,781,100000,education,0.69,0.09,0
APP-0230,33,1800000,government,18,1,7774,658,100000,medical,0.95,0.06,0
APP-0231,57,1800000,contract,1,0,0,806,250000,education,0.77,0.01,0
APP-0232,58,300000,government,20,2,10710,628,100000,vehicle,0.75,0.46,0
APP-0233,50,2400000,self_employed,15,1,10229,682,500000,vehicle,0.85,0.07,0
APP-0234,38,1800000,contract,17,2,28538,703,250000,business,0.88,0.2,0
APP-0235,53,1200000,self_employed,3,2,20450,714,100000,medical,0.86,0.21,0
APP-0236,36,420000,government,18,1,7076,595,1000000,business,0.7,0.43,1
APP-0237,25,1200000,self_employed,9,0,0,785,1000000,personal,0.63,0.08,0
APP-0238,56,300000,government,4,0,0,724,500000,business,0.45,0.16,0
APP-0239,42,1200000,salaried,12,3,24468,752,500000,education,0.44,0.28,0
APP-0240,55,420000,self_employed,20,2,8094,573,100000,home,0.87,0.25,0
APP-0241,22,2400000,salaried,18,3,16848,787,500000,medical,0.95,0.1,0
APP-0242,48,2400000,salaried,1,3,24267,638,5000000,vehicle,0.53,0.32,1
APP-0243,42,600000,self_employed,4,0,0,654,5000000,personal,0.55,0.8,0
APP-0244,38,1200000,contract,6,3,34512,567,250000,vehicle,0.78,0.37,0
APP-0245,42,1200000,contract,16,2,23268,771,250000,business,0.62,0.25,0
APP-0246,56,300000,salaried,16,1,14232,681,5000000,business,0.57,2.17,1
APP-0247,29,2400000,government,8,1,5586,587,1000000,business,0.69,0.07,0
APP-0248,41,600000,self_employed,16,2,15310,803,100000,business,0.67,0.32,0
APP-0249,43,1800000,self_employed,3,3,22698,660,1000000,personal,0.63,0.2,0
APP-0250,40,1800000,government,19,3,22449,667,250000,medical,0.6,0.16,1
APP-0251,37,420000,salaried,19,3,29088,757,1000000,business,0.55,1.06,1
APP-0252,53,840000,self_employed,5,0,0,629,1000000,vehicle,0.5,0.11,0
APP-0253,34,1800000,government,10,3,37290,691,100000,medical,0.58,0.25,0
APP-0254,34,2400000,contract,14,1,12830,684,250000,education,0.63,0.07,0
APP-0255,55,300000,salaried,14,1,12808,680,500000,home,0.79,0.67,0
APP-0256,56,300000,self_employed,9,1,9693,551,5000000,medical,0.62,1.99,1
APP-0257,53,1200000,self_employed,18,3,39081,685,2500000,personal,0.73,0.59,0
APP-0258,37,600000,salaried,15,3,30636,640,100000,vehicle,0.6,0.63,0
APP-0259,46,1200000,self_employed,15,1,12059,621,5000000,personal,0.68,0.52,1
APP-0260,29,420000,salaried,4,1,3033,783,500000,personal,0.62,0.2,0
APP-0261,29,300000,self_employed,18,2,16942,651,500000,medical,0.92,0.84,1
APP-0262,28,840000,government,1,1,10337,647,5000000,education,0.41,0.72,1
APP-0263,51,300000,government,10,1,10289,625,100000,business,0.85,0.44,0
APP-0264,58,300000,self_employed,10,2,12204,762,100000,education,0.87,0.52,1
APP-0265,30,300000,government,6,1,14265,593,1000000,education,0.46,0.89,1
APP-0266,44,1200000,self_employed,19,3,27879,617,2500000,education,0.79,0.48,0
APP-0267,35,2400000,salaried,19,2,17604,659,1000000,medical,0.68,0.13,0
APP-0268,42,420000,salaried,9,0,0,666,5000000,business,0.85,1.14,0
APP-0269,50,300000,government,17,2,19526,745,5000000,medical,0.89,2.38,1
APP-0270,55,600000,government,14,1,13592,502,1000000,home,0.45,0.43,1
APP-0271,50,840000,self_employed,10,2,28516,735,250000,vehicle,0.42,0.44,0
APP-0272,45,840000,government,15,1,8097,697,2500000,business,0.81,0.4,0
APP-0273,36,1200000,contract,8,3,13731,727,500000,home,0.54,0.18,0
APP-0274,41,1800000,contract,8,3,44304,755,100000,vehicle,0.63,0.3,1
APP-0275,34,1800000,self_employed,14,3,34482,681,500000,medical,0.88,0.26,0
APP-0276,53,300000,contract,2,3,32889,595,100000,medical,0.47,1.35,1
APP-0277,58,300000,government,19,1,3899,697,250000,personal,0.54,0.24,0
APP-0278,41,1800000,self_employed,4,0,0,758,1000000,education,0.8,0.05,0
APP-0279,29,600000,salaried,14,0,0,735,5000000,medical,0.57,0.8,0
APP-0280,37,300000,government,3,3,34620,703,1000000,medical,0.8,1.7,1
APP-0281,25,600000,self_employed,9,2,25248,780,2500000,personal,0.85,0.9,1
APP-0282,42,840000,salaried,12,0,0,735,1000000,medical,0.62,0.11,0
APP-0283,38,300000,self_employed,20,2,23456,618,100000,home,0.64,0.97,1
APP-0284,33,1800000,self_employed,15,1,14213,722,2500000,medical,0.6,0.23,0
APP-0285,31,1200000,self_employed,4,2,20160,652,5000000,business,0.6,0.6,1
APP-0286,53,1800000,self_employed,14,1,11072,566,5000000,vehicle,0.73,0.34,1
APP-0287,25,1200000,government,7,3,22230,617,2500000,home,0.52,0.42,0
APP-0288,57,2400000,salaried,19,1,8639,568,1000000,vehicle,0.93,0.08,0
APP-0289,32,300000,government,5,2,14886,669,1000000,personal,0.55,0.92,1
APP-0290,43,1800000,self_employed,13,3,22011,728,100000,personal,0.94,0.15,0
APP-0291,46,300000,government,18,2,22978,664,500000,education,0.64,1.08,1
APP-0292,28,420000,salaried,6,2,14662,604,2500000,personal,0.6,0.99,1
APP-0293,36,2400000,government,10,2,17288,613,5000000,vehicle,0.74,0.29,0
APP-0294,40,1800000,government,9,0,0,642,1000000,vehicle,0.64,0.05,0
APP-0295,44,1200000,contract,7,3,21321,652,2500000,vehicle,0.51,0.41,0
APP-0296,22,1200000,contract,12,0,0,767,1000000,personal,0.48,0.08,0
APP-0297,38,840000,self_employed,5,3,17250,668,100000,business,0.9,0.26,1
APP-0298,24,2400000,government,15,3,29151,583,500000,business,0.9,0.17,0
APP-0299,50,1200000,contract,4,3,43425,718,5000000,education,0.81,0.83,0
APP-0300,47,420000,contract,1,3,21873,683,100000,vehicle,0.4,0.65,1
APP-0301,33,1800000,contract,8,0,0,643,100000,personal,0.82,0.01,0
APP-0302,54,1800000,government,9,1,7574,789,250000,education,0.85,0.06,0
APP-0303,22,420000,government,14,2,14748,841,2500000,vehicle,0.61,0.99,0
APP-0304,27,300000,self_employed,20,1,11799,734,5000000,medical,0.87,2.07,1
APP-0305,52,600000,salaried,17,2,17946,659,1000000,medical,0.61,0.52,1
APP-0306,37,2400000,self_employed,2,2,16834,724,100000,personal,0.93,0.09,0
APP-0307,54,1800000,self_employed,16,3,26826,655,2500000,education,0.46,0.31,0
APP-0308,58,420000,contract,15,3,32628,740,250000,medical,0.65,0.99,0
APP-0309,31,1200000,government,14,1,3973,551,2500000,personal,0.69,0.24,0
APP-0310,33,1200000,salaried,15,3,39030,597,1000000,medical,0.75,0.47,1
APP-0311,44,300000,self_employed,18,3,32799,673,5000000,personal,0.49,2.91,1
APP-0312,38,1800000,self_employed,1,1,13286,636,2500000,business,0.54,0.22,0
APP-0313,41,1200000,self_employed,18,3,9630,715,5000000,business,0.83,0.5,0
APP-0314,42,1800000,self_employed,10,1,6281,685,5000000,personal,0.83,0.31,0
APP-0315,32,840000,salaried,10,3,21621,621,100000,vehicle,0.44,0.32,0
APP-0316,22,300000,salaried,10,3,11775,753,250000,vehicle,0.5,0.55,0
APP-0317,52,300000,salaried,3,0,0,672,5000000,education,0.91,1.6,1
APP-0318,26,600000,self_employed,10,2,24100,627,2500000,vehicle,0.59,0.88,1
APP-0319,52,2400000,salaried,1,1,13359,692,2500000,education,0.69,0.17,0
APP-0320,36,2400000,contract,9,1,10690,710,5000000,home,0.91,0.25,0
APP-0321,41,420000,salaried,9,3,43587,815,5000000,business,0.5,2.39,1
APP-0322,58,300000,salaried,18,2,17988,641,1000000,home,0.44,1.04,1
APP-0323,53,1800000,contract,10,3,19446,756,5000000,home,0.49,0.4,0
APP-0324,41,1800000,salaried,2,1,7034,656,5000000,business,0.81,0.31,0
APP-0325,37,300000,salaried,12,2,27256,762,250000,vehicle,0.56,1.17,0
APP-0326,43,600000,government,15,1,11762,577,1000000,home,0.62,0.4,1
APP-0327,58,300000,contract,11,0,0,607,250000,business,0.52,0.08,0
APP-0328,33,300000,salaried,5,1,10482,655,5000000,personal,0.52,2.02,1
APP-0329,32,420000,salaried,6,1,14155,647,2500000,medical,0.66,0.98,1
APP-0330,55,1800000,self_employed,15,0,0,723,2500000,personal,0.87,0.13,0
APP-0331,45,1200000,self_employed,8,2,17332,693,250000,personal,0.77,0.19,0
APP-0332,41,840000,contract,6,3,25443,707,5000000,business,0.75,0.93,0
APP-0333,33,1200000,contract,8,0,0,724,250000,business,0.81,0.02,0
APP-0334,29,600000,government,4,3,39330,650,5000000,medical,0.74,1.59,1
APP-0335,52,840000,self_employed,4,1,7847,718,250000,personal,0.66,0.14,0
APP-0336,53,1200000,government,12,2,14230,766,1000000,personal,0.47,0.22,0
APP-0337,55,840000,self_employed,10,2,10044,852,1000000,business,0.91,0.26,0
APP-0338,24,420000,self_employed,1,3,38703,786,500000,business,0.49,1.22,0
APP-0339,37,300000,government,1,1,10847,667,500000,home,0.83,0.59,0
APP-0340,41,600000,government,15,2,24082,707,500000,home,0.89,0.56,1
APP-0341,55,2400000,government,19,2,18320,597,100000,business,0.9,0.1,0
APP-0342,41,1200000,contract,9,3,25671,707,1000000,education,0.95,0.34,0
APP-0343,37,1800000,self_employed,13,1,6384,765,500000,vehicle,0.53,0.07,0
APP-0344,40,840000,government,6,0,0,655,500000,medical,0.46,0.06,0
